time,NINO1+2_sst,NINO3_sst,NINO3.4_sst,NINO4_sst,EPAC_mslp,INDO_mslp
2004-08-01,20.299223,25.23164,27.483898,29.103622,101229.42,101043.984
2004-09-01,20.379074,25.193197,27.379519,29.319462,101265.81,101069.73
2004-10-01,21.339441,25.42305,27.34366,29.340956,101261.87,101061.055
2004-11-01,22.630205,25.670033,27.340008,29.304409,101194.39,100960.36
2004-12-01,22.97858,25.749596,27.208427,29.121801,101119.83,100939.44
2005-01-01,24.588718,25.887941,27.1044,29.091967,101102.04,100982.516
2005-02-01,25.393778,26.181253,26.892395,28.693462,100999.35,101093.73
2005-03-01,25.066328,26.87723,27.444082,28.725548,101141.625,101057.74
2005-04-01,24.974295,27.554815,27.905205,28.779003,101002.914,101037.266
2005-05-01,24.480122,27.347094,28.06798,28.982832,101098.46,100949.36
2005-06-01,22.424559,26.690016,27.873375,29.070175,101147.96,100925.05
2005-07-01,21.428728,25.893885,27.318422,28.914583,101221.23,101007.64
2005-08-01,20.35433,25.350735,26.885601,28.69185,101258.66,101027.125
2005-09-01,19.997,24.687746,26.573965,28.605587,101274.08,101018.375
2005-10-01,19.883884,24.673674,26.626144,28.70248,101325.97,100986.27
2005-11-01,20.457218,24.100267,26.202963,28.502409,101246.78,100926.2
2005-12-01,22.212488,23.916004,25.752497,28.207788,101212.68,100882.32
2006-01-01,24.409174,24.760015,25.542952,27.594887,101103.79,100901.53
2006-02-01,26.654617,26.051771,25.980654,27.297215,101059.51,100952.13
2006-03-01,26.18154,26.51908,26.483982,27.689259,101051.23,100903.14
2006-04-01,24.224184,27.239223,27.487402,28.12902,101023.555,100912.445
2006-05-01,23.994272,27.118105,27.781494,28.623383,101168.336,100972.234
2006-06-01,22.839617,26.600534,27.762972,28.998512,101166.75,100965.82
2006-07-01,22.05501,25.783825,27.237938,28.936583,101232.34,101036.336
2006-08-01,21.681892,25.537977,27.195892,29.12223,101152.49,101022.91
2006-09-01,21.833626,25.74914,27.248333,29.34234,101216.79,101061.61
2006-10-01,22.614687,25.810137,27.360157,29.316635,101190.51,101096.87
2006-11-01,22.911327,26.016684,27.620266,29.52313,101104.77,100946.61
2006-12-01,23.971148,26.358786,27.707714,29.362667,101142.14,100914.266
2007-01-01,25.12232,26.563406,27.258278,28.903025,100990.39,100993.984
2007-02-01,26.210213,26.435137,26.753515,28.593885,101061.17,100994.71
2007-03-01,26.054718,26.603914,27.091446,28.598402,100983.01,100947.23
2007-04-01,24.91176,27.187757,27.65791,28.631262,101102.164,100964.625
2007-05-01,23.294125,26.320612,27.397524,28.631887,101158.14,100956.49
2007-06-01,22.271381,26.099249,27.525259,28.724348,101163.8,100808.27
2007-07-01,21.184374,25.108585,26.809544,28.528715,101248.336,100967.68
2007-08-01,19.928862,24.032991,26.23422,28.501446,101293.625,100980.73
2007-09-01,19.622955,23.85017,25.802532,28.10677,101294.22,100942.38
2007-10-01,19.424562,23.660131,25.472324,27.989038,101318.71,100931.38
2007-11-01,19.830503,23.521603,25.297989,27.486227,101158.84,100857.93
2007-12-01,21.144758,23.77932,25.365309,27.579706,101276.42,100803.53
2008-01-01,24.270304,24.218653,24.872309,26.689367,101141.13,100893.34
2008-02-01,26.369585,25.212723,25.13656,26.612934,101206.305,100903.29
2008-03-01,27.12123,26.661036,26.237165,27.047005,101098.74,100896.79
2008-04-01,25.919828,27.258663,26.913757,27.509665,100997.96,100855.93
2008-05-01,24.56254,27.137093,27.149147,27.849087,101116.555,100936.484
2008-06-01,23.620071,26.464611,27.022366,27.967907,101132.46,100981.734
2008-07-01,22.807232,26.071274,26.985565,28.094675,101238.56,100973.23
2008-08-01,22.152004,25.722485,26.771437,27.980911,101214.62,100975.375
2008-09-01,21.816313,25.258564,26.448051,28.044708,101210.18,100992.36
2008-10-01,21.418945,25.229301,26.496359,28.212957,101293.6,100973.59
2008-11-01,21.681402,25.078197,26.406784,28.125986,101229.875,100855.38
2008-12-01,22.558647,24.5234,25.735645,27.616875,101204.56,100858.22
2009-01-01,24.313099,25.247194,25.677258,27.304098,101211.65,100950.625
2009-02-01,25.715508,25.898361,26.070417,27.341331,101040.81,100863.16
2009-03-01,25.909996,26.444761,26.542065,27.627092,101022.18,100943.29
2009-04-01,25.857946,27.479734,27.60038,28.262367,101029.016,100897.14
2009-05-01,24.971563,27.554216,28.034418,28.797558,101084.016,100855.4
2009-06-01,23.89537,27.241371,28.102377,28.94536,101125.84,100976.99
2009-07-01,22.89884,26.604458,27.795048,29.060232,101098.61,100968.055
2009-08-01,21.779587,25.966854,27.541988,29.156952,101156.836,100959.08
2009-09-01,21.34019,25.742188,27.432167,29.025063,101158.51,100959.625
2009-10-01,21.243874,25.74749,27.625504,29.545847,101145.91,100998.51
2009-11-01,21.948544,26.216667,28.229412,29.84731,101103.19,100848.836
2009-12-01,23.505423,26.623669,28.301176,29.634754,101108.836,100955.734
2010-01-01,24.571438,26.684038,28.0686,29.392586,100948.71,101013.92
2010-02-01,25.804285,27.071085,27.891024,29.031261,100976.96,101053.13
2010-03-01,26.436296,27.865929,28.34077,29.10747,100971.16,101014.81
2010-04-01,26.269121,28.099253,28.381624,29.207487,101046.42,100982.73
2010-05-01,24.677662,27.03589,27.710955,28.973566,101120.87,100821.875
2010-06-01,23.327028,25.975388,27.083097,28.541368,101280.93,100962.78
2010-07-01,20.763557,24.881893,26.286945,28.07335,101319.9,100942.38
2010-08-01,20.018282,24.099653,25.587992,27.483343,101333.16,100943.07
2010-09-01,19.276663,23.945982,25.349222,27.121675,101321.51,100930.0
2010-10-01,19.514784,23.586588,25.27161,27.264753,101358.14,100863.74
2010-11-01,20.376265,23.83083,25.302233,27.173082,101329.42,100843.05
